sname,total_bp,flow
RAJ,434424836,1
SOR,15106366384,1
OBL,18147884626,1
POL,18822008520,1
VOR,19098076466,1
UMB,19494247956,1
VAI,19563222270,1
ALE,20016446236,1
NIG,20358690796,1
RIG,20490976758,1
LAM,20604355924,1
RAD,20756839866,1
DIS,20913970212,1
SAF,20960481924,1
WAD,21061147210,1
NIX,21069289628,1
CUI,21132783480,1
HEK,21225431588,1
FAV,21327741558,1
WHI,21451760670,1
NYA,21630893260,1
LUN,21663014290,1
VIN,21784802716,1
YOG,21868645240,1
LOG,21902073210,1
PEP,21912107358,1
NOM,21952687744,1
NEE,21963361424,1
TUZ,21966605342,1
MLO,22152986500,1
PLA,22323059592,1
KUP,22327941932,1
LEL,22339817310,1
RAH,22372724524,1
INZ,22498969474,1
NYS,22556226374,1
FAT,22676507274,1
RWA,22793941994,1
NEP,22818965754,1
NOB,22910019274,1
LIN,22951385844,1
YUG,23076942984,1
OMO,23106547498,1
VIV,23195726256,1
ECH,23368806118,1
NOO,23405495176,1
SCO,23812704350,1
OFR,23906141470,1
HAN,24252640352,1
FUM,24328282686,1
WAG,24343552876,1
NEL,24496021870,1
TAL,24577243646,1
DOT,24695120342,1
JAD,24803030156,1
LAZ,24816528402,1
VOT,25094068928,1
TYC,25219718988,1
LAX,25347335720,1
RIF,25621881798,1
WEA,25679329184,1
VEI,26010502326,1
LON,26162069592,1
LOF,26639831306,1
ELF,26919208416,1
LAR,26972821034,1
LIM,27034381140,1
GIZ,27472366024,1
DRO,29076870608,1
PEN,29460632834,1
NEA,37395278482,1
UNK-ADL-10-30-2017,627970934,2
UNK-F-12-17-2020,24066933470,2
DAB,40227068608,2
TAK,45292672300,2
UNK-M-11-11-2016,46036553864,2
UNK-F-4-16-2018,48647849880,2
OLD,55320180762,2
VEM,55748892028,2
ILA,56439468418,2
UNK-F-5-1-2019,58105214554,2
HIW,63307700920,2
YAP,65176199910,2
HUN,65937436506,2
VRE,68154489324,2
UNK-M-12-17-2020,68687293008,2
BYR,68737150244,2
UNK-M-9-21-2017,69321087198,2
WRU,69895980006,2
UKR,70455439206,2
KOK,71096075540,2
NAK_likely,71397308444,2
RAX,72208248756,2
VLA,73735381886,2
GOO_likely,75527872114,2
VAQ,76615651204,2
GLA,77316847138,2
DEZ,77834130960,2
UPE,78136698680,2
DOI,79651985722,2
LYK,82529979106,2
RUI,85122254600,2
TIG,85256485418,2
EMC,89561272270,2
NGI,151332964584,2
WAJ,156380247280,2
ADL,340082958,3
LUE,532452204,3
GAP,39955397596,3
UJA,42917307234,3
UNK-F-10-30-2017,43430840926,3
GRA,44838974038,3
ISC,49488961518,3
COD,52966381620,3
TEN,53061501198,3
NEK,54588772496,3
RAP,55562862552,3
IGW,55927314790,3
SAI,58153882616,3
LOH,59103020420,3
IVY,59324047406,3
YUL,59438204878,3
RAK,62008127254,3
IGL,64492887642,3
VUK,65423948264,3
AZL,65567222218,3
DLO,70764602832,3
POJ,70785321164,3
DIW,71220830336,3
WEF,73010572960,3
KIC,73758485434,3
NAJ,73819907372,3
GON,74288268410,3
DEX,75768708432,3
NAX,76259220992,3
TAS,77487987396,3
LOP,78353230358,3
NAL,79094077680,3
ROJ,79382885968,3
UJU,79879567002,3
ECO,83932873550,3
CAH,150198283316,3
WAJ,156380247280,3
